modello,f1_medio_per_gruppo,recall_medio_per_gruppo,n_gruppi_passa_80pct,EO_diff_assoluta_media,DI_distanza_media_da_1
A_baseline,0.5395365988579031,0.4454339959352689,2,0.09841875179688937,0.4813874588766859
B_smote,0.5925096516087046,0.6913504878001722,3,0.09014103863194937,0.26226579664614824
C_inproc,0.5289117070127267,0.43693153991276557,4,0.059978137383439864,0.30146746699029175
D_postproc,0.5498499750218899,0.6971162056326812,7,0.06043862213407874,0.1357410683246497
